iter	Passed	Remaining
0	1	114
1	2	107
2	3	112
3	4	104
4	5	105
5	7	115
6	8	114
7	9	111
8	10	107
9	11	104
10	12	102
11	13	100
12	14	98
13	15	96
14	17	96
15	18	96
16	19	96
17	21	95
18	22	94
19	23	92
20	24	90
21	25	89
22	26	87
23	27	86
24	28	85
25	29	84
26	30	83
27	32	84
28	33	82
29	34	81
30	35	79
31	37	78
32	38	77
33	38	75
34	39	74
35	41	73
36	42	72
37	44	71
38	45	71
39	46	70
40	47	68
41	48	66
42	49	65
43	50	63
44	51	62
45	52	61
46	53	60
47	55	59
48	56	58
49	58	58
50	59	56
51	60	55
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	67	48
58	71	49
59	77	51
60	121	77
61	123	75
62	124	73
63	125	70
64	127	68
65	128	66
66	129	63
67	130	61
68	131	59
69	133	57
70	134	54
71	142	55
72	144	53
73	146	51
74	148	49
75	150	47
76	151	45
77	152	43
78	154	40
79	155	38
80	156	36
81	157	34
82	159	32
83	161	30
84	162	28
85	163	26
86	164	24
87	165	22
88	167	20
89	168	18
90	169	16
91	170	14
92	172	13
93	174	11
94	175	9
95	176	7
96	177	5
97	178	3
98	179	1
99	180	0
