iter	Passed	Remaining
0	135	134968
1	136	67948
2	137	45607
3	138	34438
4	139	27731
5	140	23254
6	141	20058
7	142	17667
8	143	15797
9	144	14304
10	145	13086
11	146	12064
12	147	11199
13	148	10476
14	149	9839
15	150	9277
16	151	8783
17	152	8343
18	153	7948
19	154	7591
20	155	7267
21	156	6976
22	157	6707
23	158	6460
24	159	6231
25	160	6020
26	161	5825
27	162	5645
28	163	5478
29	164	5320
30	165	5172
31	166	5036
32	167	4907
33	168	4783
34	169	4669
35	170	4560
36	171	4458
37	172	4361
38	173	4269
39	174	4179
40	175	4095
41	176	4014
42	177	3940
43	178	3871
44	179	3802
45	180	3736
46	181	3671
47	182	3610
48	183	3551
49	183	3495
50	184	3440
51	185	3387
52	186	3336
53	187	3288
54	188	3241
55	189	3195
56	190	3151
57	191	3108
58	192	3066
59	193	3029
60	194	2991
61	195	2954
62	196	2918
63	197	2884
64	198	2850
65	199	2817
66	200	2785
67	200	2754
68	201	2724
69	202	2694
70	203	2666
71	204	2638
72	205	2610
73	206	2584
74	207	2558
75	208	2535
76	209	2512
77	210	2488
78	211	2465
79	212	2442
80	213	2420
81	214	2399
82	214	2372
83	215	2352
84	216	2332
85	217	2312
86	218	2293
87	219	2274
88	220	2255
89	221	2237
90	222	2219
91	223	2202
92	224	2187
93	225	2171
94	226	2154
95	227	2138
96	228	2122
97	228	2107
98	229	2092
99	230	2077
100	231	2063
101	232	2048
102	233	2034
103	234	2020
104	235	2007
105	236	1993
106	237	1981
107	238	1968
108	239	1957
109	240	1946
110	241	1933
111	242	1922
112	243	1910
113	244	1898
114	245	1887
115	246	1875
116	246	1862
117	247	1852
118	248	1841
119	249	1830
120	250	1820
121	251	1808
122	252	1798
123	253	1788
124	254	1779
125	255	1770
126	256	1759
127	256	1750
128	257	1741
129	258	1732
130	259	1723
131	260	1714
132	261	1705
133	262	1696
134	263	1687
135	264	1679
136	265	1670
137	266	1662
138	267	1654
139	268	1646
140	269	1638
141	269	1629
142	270	1623
143	271	1616
144	272	1608
145	273	1601
146	274	1593
147	275	1586
148	276	1579
149	277	1571
150	278	1564
151	279	1557
152	280	1551
153	281	1544
154	282	1537
155	282	1530
156	283	1524
157	284	1517
158	285	1511
159	286	1506
160	287	1498
161	288	1491
162	289	1485
163	290	1479
164	291	1473
165	292	1468
166	293	1462
167	294	1456
168	295	1450
169	295	1444
170	296	1439
171	297	1433
172	298	1428
173	299	1422
174	300	1418
175	301	1412
176	302	1407
177	303	1402
178	304	1397
179	305	1391
180	306	1386
181	307	1381
182	308	1376
183	309	1371
184	310	1366
185	311	1361
186	312	1356
187	313	1351
188	313	1346
189	314	1341
190	315	1338
191	316	1333
192	317	1329
193	318	1324
194	319	1319
195	320	1315
196	321	1310
197	322	1306
198	323	1301
199	324	1297
200	325	1292
201	326	1288
202	327	1284
203	327	1279
204	328	1275
205	329	1271
206	331	1268
207	332	1264
208	333	1260
209	334	1257
210	335	1253
211	336	1249
212	337	1246
213	338	1242
214	339	1238
215	340	1234
216	341	1230
217	341	1226
218	342	1222
219	343	1219
220	344	1215
221	345	1212
222	346	1208
223	347	1204
224	348	1201
225	349	1197
226	350	1193
227	351	1190
228	352	1186
229	353	1183
230	354	1179
231	355	1176
232	356	1172
233	357	1169
234	358	1165
235	359	1162
236	360	1159
237	361	1156
238	362	1153
239	363	1149
240	364	1146
241	365	1143
242	365	1139
243	366	1136
244	367	1133
245	368	1130
246	369	1126
247	370	1123
248	371	1120
249	372	1116
250	373	1113
251	374	1110
252	375	1107
253	376	1104
254	377	1101
255	378	1098
256	378	1095
257	379	1092
258	380	1089
259	381	1086
260	382	1083
261	383	1080
262	384	1077
263	385	1074
264	386	1071
265	387	1068
266	388	1065
267	389	1062
268	390	1060
269	391	1057
270	392	1055
271	393	1052
272	394	1049
273	395	1047
274	396	1044
275	397	1041
276	398	1038
277	398	1036
278	399	1033
279	400	1030
280	401	1028
281	402	1025
282	403	1022
283	404	1020
284	405	1018
285	407	1016
286	408	1014
287	409	1011
288	410	1008
289	410	1006
290	411	1003
291	412	1000
292	413	998
293	414	995
294	415	993
295	416	990
296	417	988
297	418	985
298	419	982
299	420	980
300	421	978
301	422	976
302	423	973
303	424	971
304	425	968
305	426	966
306	427	964
307	428	961
308	429	959
309	429	957
310	430	954
311	431	952
312	432	949
313	433	947
314	434	945
315	435	942
316	436	940
317	437	938
318	438	935
319	439	933
320	440	931
321	441	928
322	442	926
323	443	924
324	443	922
325	444	919
326	445	917
327	446	915
328	447	913
329	448	910
330	449	908
331	450	906
332	451	904
333	452	902
334	453	900
335	454	898
336	455	896
337	456	893
338	457	891
